name,module,lfc_FFI,fdr_FFI,lfc_CJD,fdr_CJD,disease,degree,betweenness
Arel1,1,-0.255574496545227,0.0301388671699514,-0.102157363372268,0.590597232939173,FFI,NA,0.005478908136176386
Arhgap32,1,-0.442155180265191,6.12455294775051e-4,-0.142287699608066,0.402559490694313,FFI,NA,0.007721440429923016
Ash1l,1,-0.509382445285062,5.83313926714417e-4,-0.362087008828438,0.0118132022741654,both,NA,0.007501743641773735
Atp2b2,1,-0.241207828486624,0.0407275308835141,-0.0718059851111195,0.706040242490862,FFI,NA,0.004294027196469169
Clasp1,1,-0.309882820047818,0.0142724423688587,-0.144441168823667,0.409973158491247,FFI,NA,0.006067055047819418
Csrp1,6,0.585690252954614,5.83313926714417e-4,0.266903511225957,0.0854039260915189,FFI,NA,0.008431820960200799
Depdc5,1,-0.407824851443047,0.00959593668437181,-0.161547600894564,0.353414668514068,FFI,560,NA
Gprasp1,1,-0.755729117169656,1.54502565330291e-7,-0.477057140780223,0.00433788238104475,both,NA,0.007341695603031618
Gtf3c1,1,-0.399125621817393,0.0188779486074716,-0.164504616674754,0.343746796454012,FFI,585,NA
Hspa12a,1,-0.317096906365515,0.0075622670363396,-0.13341730190384,0.452799310143646,FFI,NA,0.006587598640176075
Kif1b,1,-0.513469300594744,5.22754911642424e-5,-0.315505683226748,0.0115665859059198,both,NA,0.005110825269015212
Map3k5,1,-0.368297416980087,0.0134863359374469,-0.227328917647371,0.134259073586993,FFI,NA,0.01012341363175476
Mta3,1,-0.383700251399271,0.0214651953696239,-0.165048142212004,0.338652533606433,FFI,551,NA
Mtmr9,1,-0.393698927171135,0.00551229295155766,-0.191569437891354,0.234430243857506,FFI,NA,0.008192290817277969
Myt1l,1,-0.413376627204497,0.00129815005617739,-0.228494815471463,0.0974904830853418,FFI,NA,0.004511732963337839
Ogfod1,1,-0.310045529201064,0.0184805575611772,-0.139378388618917,0.423428487010246,FFI,NA,0.008015324826578036
Phlpp2,1,-0.570980753379887,1.54502565330291e-7,-0.274979622299572,0.0324672334684895,both,NA,0.0059243516412642
Plekhb1,6,0.393021211851184,0.0168839512915983,0.090713162438211,0.648490874403844,FFI,NA,0.010930604623435796
Pmp22,4,0.419539595739814,0.0151676209534848,0.0422135824050097,0.823179419655464,FFI,NA,0.003046645454388387
Ralgapb,1,-0.378775599205597,0.00206497429942634,-0.172333098690518,0.223456391261923,FFI,NA,0.004945227375195023
Tenm2,1,-0.492317899922503,7.63850353641448e-4,-0.279509325651947,0.0152015038149184,both,NA,0.006250556657233557
Ube2l3,4,0.253007517811516,0.0469878385841657,0.0596646779533198,0.76430942351899,FFI,NA,0.004158825756364988
Ubr5,1,-0.452843502213701,0.00419514896350685,-0.207766331829319,0.181799765915679,FFI,NA,0.005777931562114188
Unc80,3,-0.573889744349835,8.34425219009691e-4,-0.295847844241412,0.0712465366919889,FFI,NA,0.005379570110905198
Usp47,1,-0.320767242248532,0.0141341321906151,-0.127686326644575,0.456819533183128,FFI,NA,0.00549400768620363
Wdfy3,1,-0.966157948826591,5.97800268993987e-11,-0.513973670197909,7.46971239550773e-5,both,NA,0.004251252060633804
Wdr47,1,-0.341499054545468,0.0260039755985985,-0.128611320335975,0.476006631180014,FFI,NA,0.0043695926646818515
